site_index,method,vs_mae_km_s,vs_mae_0_40km_km_s,vs_mae_40_120km_km_s,phase_forward_rms_km_s,group_forward_rms_km_s,input_protocol
6771,DispFormer phase+group,0.07621251046657562,0.11426379531621933,0.05694904178380966,0.03891490772366524,0.0610901303589344,phase + group
6956,DispFormer phase+group,0.08776001632213593,0.09515352547168732,0.08401705324649811,0.01992090791463852,0.04313940554857254,phase + group
7220,DispFormer phase+group,0.07032893598079681,0.09274882078170776,0.05897887796163559,0.04201619699597359,0.05411646142601967,phase + group
7308,DispFormer phase+group,0.09296612441539764,0.12973371148109436,0.07435252517461777,0.04090661182999611,0.05729246884584427,phase + group
7350,DispFormer phase+group,0.09794404357671738,0.15171772241592407,0.07072111964225769,0.04888135939836502,0.04468498006463051,phase + group
7422,DispFormer phase+group,0.10194122046232224,0.14047828316688538,0.08243183046579361,0.029567904770374298,0.050365861505270004,phase + group
7447,DispFormer phase+group,0.08638300001621246,0.12286707758903503,0.06791293621063232,0.03818027675151825,0.0879792720079422,phase + group
7454,DispFormer phase+group,0.04944055899977684,0.07431721687316895,0.03684675320982933,0.026235688477754593,0.08184169232845306,phase + group
7640,DispFormer phase+group,0.08818592876195908,0.11336361616849899,0.07543972134590149,0.03743357956409454,0.046773988753557205,phase + group
7681,DispFormer phase+group,0.06907718628644943,0.07440828531980515,0.06637831777334213,0.03800068795681,0.07790514826774597,phase + group
7794,DispFormer phase+group,0.08814110606908798,0.14928720891475677,0.05718588829040527,0.0571826733648777,0.15816283226013184,phase + group
7861,DispFormer phase+group,0.06511259824037552,0.11165395379066467,0.04155104234814644,0.03989449515938759,0.0997878760099411,phase + group
7871,DispFormer phase+group,0.11195940524339676,0.1175711378455162,0.10911846160888672,0.06026880443096161,0.06574170291423798,phase + group
8105,DispFormer phase+group,0.1340322345495224,0.13732323050498962,0.13236618041992188,0.04563451185822487,0.06425934284925461,phase + group
8228,DispFormer phase+group,0.07364896684885025,0.13896791636943817,0.040581248700618744,0.04186982288956642,0.0632839947938919,phase + group
8270,DispFormer phase+group,0.32965707778930664,0.22269581258296967,0.3838062286376953,0.0943761095404625,0.2766384482383728,phase + group
8308,DispFormer phase+group,0.14593477547168732,0.17159226536750793,0.1329456865787506,0.035604286938905716,0.04639343544840813,phase + group
8314,DispFormer phase+group,0.07521899789571762,0.1280173808336258,0.04848982021212578,0.05106096342206001,0.0635618269443512,phase + group
8467,DispFormer phase+group,0.13438890874385834,0.15133489668369293,0.12580999732017517,0.026727773249149323,0.04410203546285629,phase + group
8523,DispFormer phase+group,0.05831386148929596,0.11589273810386658,0.029164547100663185,0.03394933044910431,0.05358635634183884,phase + group
8568,DispFormer phase+group,0.10571137815713882,0.11556719243526459,0.10072187334299088,0.033360496163368225,0.07532016932964325,phase + group
8624,DispFormer phase+group,0.09339940547943115,0.12613002955913544,0.07682953029870987,0.03402193263173103,0.05181465670466423,phase + group
8665,DispFormer phase+group,0.11694912612438202,0.0861874669790268,0.13252219557762146,0.040192004293203354,0.0626828745007515,phase + group
8782,DispFormer phase+group,0.0976528599858284,0.1371137797832489,0.07767575979232788,0.02352120727300644,0.06053827330470085,phase + group
8848,DispFormer phase+group,0.24108433723449707,0.09584783762693405,0.3146103322505951,0.07272877544164658,0.15629461407661438,phase + group
