subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
26,109.416667,41.837500,5.0,2.91309,2.67568,3.15208,0.27781,39
26,109.416667,41.837500,10.0,3.06435,2.75730,3.53819,0.36665,39
26,109.416667,41.837500,20.0,3.85702,3.48855,4.08095,0.31117,39
26,109.416667,41.837500,40.0,3.01957,2.90165,3.21906,0.18440,39
26,109.416667,41.837500,60.0,3.27255,3.22311,3.31641,0.04717,39
26,109.416667,41.837500,80.0,3.51962,3.50257,3.53607,0.01946,39
26,109.416667,41.837500,100.0,3.55016,3.53289,3.57641,0.02132,39
27,109.416667,41.962500,2.0,2.70402,2.35020,3.19636,0.46090,39
27,109.416667,41.962500,5.0,2.96429,2.69876,3.28323,0.29180,39
27,109.416667,41.962500,10.0,3.34345,3.05477,3.64105,0.31123,39
27,109.416667,41.962500,20.0,3.74402,3.37917,3.95612,0.29122,39
27,109.416667,41.962500,40.0,3.04087,2.90104,3.25321,0.17565,39
27,109.416667,41.962500,60.0,3.25581,3.20225,3.30285,0.05829,39
27,109.416667,41.962500,80.0,3.51778,3.50028,3.53249,0.01798,39
27,109.416667,41.962500,100.0,3.55056,3.53906,3.57068,0.02018,39
28,109.416667,42.087500,2.0,2.66570,2.21122,3.17692,0.50821,39
28,109.416667,42.087500,5.0,2.96740,2.63094,3.27985,0.35849,39
28,109.416667,42.087500,10.0,3.22685,2.78050,3.58176,0.43119,39
28,109.416667,42.087500,20.0,3.77496,3.50773,3.99880,0.28679,39
28,109.416667,42.087500,40.0,3.00850,2.90048,3.08840,0.13295,39
28,109.416667,42.087500,60.0,3.27343,3.23036,3.32974,0.05165,39
28,109.416667,42.087500,80.0,3.51659,3.49536,3.53683,0.03040,39
28,109.416667,42.087500,100.0,3.54631,3.52779,3.57350,0.02159,39
29,109.416667,42.212500,2.0,2.78465,2.33882,3.27029,0.46829,39
29,109.416667,42.212500,5.0,3.05407,2.59393,3.41968,0.38202,39
29,109.416667,42.212500,10.0,3.27396,2.94233,3.69686,0.37328,39
29,109.416667,42.212500,20.0,3.80946,3.46887,4.05791,0.30929,39
29,109.416667,42.212500,40.0,2.94261,2.85438,3.09121,0.13681,39
29,109.416667,42.212500,60.0,3.24049,3.21181,3.28702,0.03826,39
29,109.416667,42.212500,80.0,3.50998,3.49318,3.52860,0.02291,39
29,109.416667,42.212500,100.0,3.55256,3.53164,3.57145,0.01880,39
30,109.416667,42.337500,2.0,2.83578,2.35471,3.19865,0.40123,39
30,109.416667,42.337500,5.0,2.97039,2.72239,3.19901,0.26310,39
30,109.416667,42.337500,10.0,2.93364,2.69640,3.32226,0.31769,39
30,109.416667,42.337500,20.0,3.85682,3.56828,4.12353,0.26701,39
30,109.416667,42.337500,40.0,3.07630,2.98173,3.26652,0.16431,39
30,109.416667,42.337500,60.0,3.26291,3.21375,3.31423,0.04903,39
