disp_best_rms_km_s,method,reference_in_p05_p95,site_index,status,vs_mae_km_s
nan,DI-Weak,0.7800829875518672,7794,ok,0.12833185493946075
0.011556799570984112,QEDisp m0 multistart,nan,7861,ok,0.13475884378721162
nan,DI-Strong,0.7219917012448133,7861,ok,0.11805932223796844
nan,DI-Weak,0.8879668049792531,7861,ok,0.12327832728624344
0.018787554754957376,QEDisp m0 multistart,nan,7871,ok,0.14377198313717482
nan,DI-Strong,0.4896265560165975,7871,ok,0.12593036890029907
nan,DI-Weak,0.7385892116182573,7871,ok,0.17480190098285675
0.014408093725020497,QEDisp m0 multistart,nan,8105,ok,0.10908354603093802
nan,DI-Strong,0.7427385892116183,8105,ok,0.07784722000360489
nan,DI-Weak,1.0,8105,ok,0.0865977555513382
0.010154539850178479,QEDisp m0 multistart,nan,8228,ok,0.09298709437909362
nan,DI-Strong,0.5186721991701245,8228,ok,0.10360785573720932
nan,DI-Weak,0.975103734439834,8228,ok,0.09606734663248062
0.008678800485115195,QEDisp m0 multistart,nan,8270,ok,0.11437905837740972
nan,DI-Strong,0.45643153526970953,8270,ok,0.11406731605529785
nan,DI-Weak,0.5601659751037344,8270,ok,0.1853288859128952
0.012365713361240913,QEDisp m0 multistart,nan,8308,ok,0.10862453910745837
nan,DI-Strong,0.5103734439834025,8308,ok,0.1283407360315323
nan,DI-Weak,0.7427385892116183,8308,ok,0.15564534068107605
0.00785792666814754,QEDisp m0 multistart,nan,8314,ok,0.105018261744052
nan,DI-Strong,0.6016597510373444,8314,ok,0.11852356046438217
nan,DI-Weak,0.995850622406639,8314,ok,0.0798562616109848
0.0059205307648864496,QEDisp m0 multistart,nan,8467,ok,0.10855238672531073
nan,DI-Strong,0.6182572614107884,8467,ok,0.12276092916727066
nan,DI-Weak,0.7385892116182573,8467,ok,0.15484486520290375
0.01071016974778639,QEDisp m0 multistart,nan,8523,ok,0.06853441768011237
nan,DI-Strong,0.43568464730290457,8523,ok,0.1026838943362236
nan,DI-Weak,1.0,8523,ok,0.11163731664419174
0.008559985871488384,QEDisp m0 multistart,nan,8568,ok,0.10078549527823955
nan,DI-Strong,0.6431535269709544,8568,ok,0.09998858720064163
nan,DI-Weak,0.991701244813278,8568,ok,0.13123063743114471
0.004739944861664812,QEDisp m0 multistart,nan,8624,ok,0.1282202178941008
nan,DI-Strong,0.5684647302904564,8624,ok,0.12988169491291046
nan,DI-Weak,1.0,8624,ok,0.11281019449234009
0.004451149509376854,QEDisp m0 multistart,nan,8665,ok,0.10891166502294314
nan,DI-Strong,0.7883817427385892,8665,ok,0.07867331802845001
nan,DI-Weak,0.991701244813278,8665,ok,0.11292465031147003
0.004122697152482417,QEDisp m0 multistart,nan,8782,ok,0.06932868337466033
nan,DI-Strong,0.7842323651452282,8782,ok,0.07018754631280899
nan,DI-Weak,0.991701244813278,8782,ok,0.08051388710737228
0.011232113359202383,QEDisp m0 multistart,nan,8848,ok,0.15130474220154122
nan,DI-Strong,0.4605809128630705,8848,ok,0.14295658469200134
nan,DI-Weak,0.8838174273858921,8848,ok,0.126540407538414
